Id,Id2,Geography,Male-Less than high school graduate,Male-High school graduate (includes equivalency),Male-Some college or associate's degree,Male-Bachelor's degree,Male-Graduate or professional degree,Female-Less than high school graduate,Female-High school graduate (includes equivalency),Female-Some college or associate's degree,Female-Bachelor's degree,Female-Graduate or professional degree
0400000US01,1,Alabama,25787,35915,41440,62626,77436,15778,21671,26824,39320,51494
0400000US02,2,Alaska,27211,41536,51169,67437,90028,20130,28778,34947,46115,70662
0400000US04,4,Arizona,25742,32269,41321,62280,80236,17976,24030,31308,42884,54235
0400000US05,5,Arkansas,26435,34029,40119,60496,72016,20178,22364,27613,38345,52031
0400000US06,6,California,26876,35362,45303,71972,101525,17580,25482,32019,51180,72229
0400000US08,8,Colorado,30979,37229,46067,65419,86844,19923,27251,31309,43320,55136
0400000US09,9,Connecticut,28196,41739,51511,75824,100687,19824,28665,35392,51038,67389
0400000US10,10,Delaware,26856,38779,41848,63198,83220,21068,29555,31986,50891,67032
0400000US11,11,District of Columbia,30200,31617,42168,71849,100135,20744,28005,40101,57652,86728
0400000US12,12,Florida,25115,30974,37346,55077,74579,17066,22462,29167,40107,51758
0400000US13,13,Georgia,25812,33827,41935,66163,82410,16443,23334,29637,42360,56886
0400000US15,15,Hawaii,32978,40034,46044,60750,78643,22666,28770,35207,42498,60260
0400000US16,16,Idaho,30452,32395,40249,56986,81226,15992,21834,22308,32863,45519
0400000US17,17,Illinois,28072,38152,46312,70329,91454,19460,23920,30143,46260,62050
0400000US18,18,Indiana,30062,38746,46624,63047,75986,18448,23137,28704,40932,56707
0400000US19,19,Iowa,31383,39361,45247,62120,77024,20661,24034,29804,42106,60376
0400000US20,20,Kansas,30650,36249,41623,61614,76106,17453,22326,28439,40632,51581
0400000US21,21,Kentucky,26882,35189,42850,57029,68540,16239,22642,26985,40623,52292
0400000US22,22,Louisiana,27599,37723,43564,62405,76579,15318,21420,25973,41401,51282
0400000US23,23,Maine,26475,35232,40763,52701,65028,17832,22895,30165,39820,55247
0400000US24,24,Maryland,30735,41074,51294,73235,101546,20740,28385,37002,52303,71771
0400000US25,25,Massachusetts,31247,43773,50258,76218,100528,20407,27458,35548,51940,68111
0400000US26,26,Michigan,25987,36017,43573,64861,85769,16633,22321,28274,41709,59469
0400000US27,27,Minnesota,29456,38297,48016,67075,82711,20027,25719,32418,47825,64461
0400000US28,28,Mississippi,27469,31962,40111,51862,70697,15986,21168,26803,36312,47960
0400000US29,29,Missouri,26682,35167,41104,60405,71937,16414,23665,29517,40614,51525
0400000US30,30,Montana,26804,33434,37352,47985,67034,12666,22823,25474,35602,50913
0400000US31,31,Nebraska,30165,37366,44973,60441,71750,18905,24409,28748,41701,55598
0400000US32,32,Nevada,31102,35228,41507,54958,78250,21517,26942,31692,41505,58485
0400000US33,33,New Hampshire,32082,41659,50529,73955,90035,20978,26826,34237,44796,60167
0400000US34,34,New Jersey,27122,41384,50158,77071,105296,18013,26542,34202,53984,70813
0400000US35,35,New Mexico,25246,31234,38831,47284,75320,15023,21654,26593,40207,51978
0400000US36,36,New York,26364,36658,45448,69070,91175,18368,25219,32391,51371,65882
0400000US37,37,North Carolina,25135,31994,40703,61871,81774,16675,22346,27786,41803,51855
0400000US38,38,North Dakota,38040,41812,48709,60567,71956,20294,26370,31619,42840,58252
0400000US39,39,Ohio,27953,36837,42346,62492,80739,15507,23063,30092,42453,57638
0400000US40,40,Oklahoma,27556,34479,41256,57888,71381,16799,21649,26928,38957,47729
0400000US41,41,Oregon,30048,34671,41621,57483,81466,18077,24289,29396,40725,54444
0400000US42,42,Pennsylvania,30249,38702,44994,63953,84678,17278,25123,31040,43971,60619
0400000US44,44,Rhode Island,29326,40926,50520,66256,87016,19427,26028,33766,50376,69947
0400000US45,45,South Carolina,23162,31622,40901,60700,74226,16819,22153,26435,37108,50251
0400000US46,46,South Dakota,30576,36468,42125,53522,64227,17612,22968,27712,38297,51561
0400000US47,47,Tennessee,25270,32751,41099,57168,74400,17139,23137,28981,40516,51957
0400000US48,48,Texas,27461,35866,44803,66875,90237,16141,23463,30493,48263,59020
0400000US49,49,Utah,32489,39468,44477,62050,86010,19551,24137,26263,33577,53325
0400000US50,50,Vermont,29130,35257,42941,47438,70355,16699,24168,30019,36220,54323
0400000US51,51,Virginia,30904,37029,47267,71921,101801,17506,24353,31167,48181,62699
0400000US53,53,Washington,30913,41021,49972,72369,95337,19250,26326,31782,47667,65067
0400000US54,54,West Virginia,24891,35349,43002,51607,66581,13540,21797,26382,37498,50329
0400000US55,55,Wisconsin,30896,39442,46582,61790,78503,19553,25014,30953,43302,57612
0400000US56,56,Wyoming,37998,40856,46173,52196,65058,20108,22313,30033,42164,53603
0400000US72,72,Puerto Rico,11027,15518,18551,29441,45730,8563,11967,15740,22384,31424
