country,INDICATOR,SUBJECT,MEASURE,FREQUENCY,year,gap,Flag Codes
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1975,21.58273381,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1976,20.75471698,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1977,18.3908046,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1978,19.79166667,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1979,20,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1980,18.75,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1981,18.25396825,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1982,20.81911263,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1983,19.15584416, 
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1984,18.6746988,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1985,19.60784314,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1986,18.84816754,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1987,18.51851852,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1988,18.79350348,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1989,18.58974359,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1990,18.18181818,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1991,16.015625,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1992,14.25855513,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1993,13.22463768,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1994,14.40972222,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1995,14.47811448,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1997,15.25423729,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1998,13.24200913,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,1999,14.28571429,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,2000,17.2,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,2001,14.34210526,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,2002,15,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,2003,13.04347826,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,2004,14.35294118,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,2005,15.77777778,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,2006,16.66666667,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,2007,15.4,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,2008,11.93737769,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,2009,16.36363636,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,2010,14.04293381,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,2011,15.96638656,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,2012,13.75,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,2013,18,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,2014,15.38461539,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,2015,13,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,2016,14.28631056,
AUT,WAGEGAP,TOT,PC_MENWAGE,A,2000,23.14194309,
AUT,WAGEGAP,TOT,PC_MENWAGE,A,2001,22.80181782,
AUT,WAGEGAP,TOT,PC_MENWAGE,A,2002,24.48922362,
AUT,WAGEGAP,TOT,PC_MENWAGE,A,2003,21.13692198,
AUT,WAGEGAP,TOT,PC_MENWAGE,A,2004,22.43079216,
AUT,WAGEGAP,TOT,PC_MENWAGE,A,2005,22.03208575,
AUT,WAGEGAP,TOT,PC_MENWAGE,A,2006,21.85513043,
AUT,WAGEGAP,TOT,PC_MENWAGE,A,2007,21.63427637,
AUT,WAGEGAP,TOT,PC_MENWAGE,A,2008,20.91732027,
AUT,WAGEGAP,TOT,PC_MENWAGE,A,2009,19.35596592,
AUT,WAGEGAP,TOT,PC_MENWAGE,A,2010,19.18886268,
AUT,WAGEGAP,TOT,PC_MENWAGE,A,2011,18.55055412,
AUT,WAGEGAP,TOT,PC_MENWAGE,A,2012,18.18505684,
AUT,WAGEGAP,TOT,PC_MENWAGE,A,2013,18.05321141,
AUT,WAGEGAP,TOT,PC_MENWAGE,A,2014,17.72888425,
AUT,WAGEGAP,TOT,PC_MENWAGE,A,2015,17.04325299,
BEL,WAGEGAP,TOT,PC_MENWAGE,A,1999,15.18298714,
BEL,WAGEGAP,TOT,PC_MENWAGE,A,2000,13.59923114,
BEL,WAGEGAP,TOT,PC_MENWAGE,A,2001,13.18681319,
BEL,WAGEGAP,TOT,PC_MENWAGE,A,2002,11.60471442,
BEL,WAGEGAP,TOT,PC_MENWAGE,A,2003,15.20518359,
BEL,WAGEGAP,TOT,PC_MENWAGE,A,2004,11.83206107,
BEL,WAGEGAP,TOT,PC_MENWAGE,A,2005,11.51109251,
BEL,WAGEGAP,TOT,PC_MENWAGE,A,2006,10.25326797,
BEL,WAGEGAP,TOT,PC_MENWAGE,A,2007,9.873617694,
BEL,WAGEGAP,TOT,PC_MENWAGE,A,2008,8.915753683,
BEL,WAGEGAP,TOT,PC_MENWAGE,A,2009,7.480461481,
BEL,WAGEGAP,TOT,PC_MENWAGE,A,2010,7.04379562,
BEL,WAGEGAP,TOT,PC_MENWAGE,A,2011,5.838108883,
BEL,WAGEGAP,TOT,PC_MENWAGE,A,2012,6.411149826,
BEL,WAGEGAP,TOT,PC_MENWAGE,A,2013,5.912863071,
BEL,WAGEGAP,TOT,PC_MENWAGE,A,2014,3.298900367,
CAN,WAGEGAP,TOT,PC_MENWAGE,A,1997,24.70588235,
CAN,WAGEGAP,TOT,PC_MENWAGE,A,1998,24.85549133,
CAN,WAGEGAP,TOT,PC_MENWAGE,A,1999,24,
CAN,WAGEGAP,TOT,PC_MENWAGE,A,2000,23.875,
CAN,WAGEGAP,TOT,PC_MENWAGE,A,2001,24.32457913,
CAN,WAGEGAP,TOT,PC_MENWAGE,A,2002,24.0131579,
